year,poll_date,pollster,lula,bolsonaro,tebet,others,undecided_share,source_table,source_url
2022,2022-10-01,Datafolha,48,34,5,8,5.0,0,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-10-01,Ipec,47,34,5,7,7.0,1,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-10-01,Quaest,49,38,5,8,,2,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-30,Atlas,50,41,3,5,1.0,3,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-30,Ipespe,46,33,6,11,4.0,4,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-30,MDA,44,36,4,8,8.0,5,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-29,Datafolha,48,34,5,8,5.0,6,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-29,Paraná Pesquisas,44,37,6,6,7.0,7,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-29,Verita,42,45,4,7,2.0,8,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-28,Atlas,49,40,3,5,3.0,9,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-28,Brasmarket,31,45,5,8,11.0,10,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-28,Futura,41,38,7,7,7.0,11,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-28,Ideia,47,37,5,7,4.0,12,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-27,PoderData,45,36,4,10,5.0,13,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-27,Quaest,46,33,5,7,9.0,14,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-26,Atlas,48,41,2,7,2.0,15,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-26,Ipec,48,31,5,8,8.0,16,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-26,Paraná Pesquisas,43,36,5,7,9.0,17,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-25,FSB,45,35,4,10,6.0,18,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-23,Ipespe,46,35,4,6,9.0,19,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
2022,2022-09-23,Verita,42,43,4,8,3.0,20,https://github.com/Nexo-Dados/pesquisas-presidenciais-2022/blob/main/pesquisas_1t.csv
