year,uf,a_votes,b_votes,c_votes,other_votes
2010,AC,82732,180252,81081,1734
2010,AL,709844,508232,160380,15623
2010,AM,991128,129190,392170,12686
2010,AP,161443,72774,101243,5280
2010,BA,4188099,1403153,1052674,43975
2010,CE,2783451,686891,686770,41399
2010,DF,462441,354070,611362,29186
2010,ES,717417,682590,505734,20150
2010,GO,1301985,1217203,529694,33911
2010,MA,2079650,444145,400048,19936
2010,MG,5067399,3317872,2291502,108815
2010,MS,518877,551296,219812,11864
2010,MT,659771,678614,184339,13869
2010,PA,1699799,1336887,474841,35057
2010,PB,1031185,551053,341916,13832
2010,PE,2748751,773374,903655,26152
2010,PI,1088205,339445,185107,9284
2010,PR,2311239,2607664,944402,71696
2010,RJ,3739632,1925166,2693130,187147
2010,RN,846416,460107,313360,15280
2010,RO,321464,358389,100292,9196
2010,RR,63927,113601,41784,3309
2010,RS,3007263,2600389,725580,72529
2010,SC,1402566,1658161,507017,55385
2010,SE,506802,404584,141033,10835
2010,SP,8740949,9524050,4865828,295472
2010,TO,362383,198979,146151,3351
2014,AC,111610,116015,167499,3767
2014,AL,703674,311576,356632,37071
2014,AM,915030,325734,361234,75857
2014,AP,198939,99046,77702,13651
2014,BA,4292325,1276603,1284185,132782
2014,CE,3087115,676743,638115,118259
2014,DF,362511,568371,563830,79802
2014,ES,653469,692952,567421,59377
2014,GO,1035673,1340441,771157,79281
2014,MA,2187668,365443,534824,56994
2014,MG,4829513,4414452,1554511,308407
2014,MS,506951,558331,257805,28318
2014,MT,616265,693251,219908,29363
2014,PA,2040696,1057860,627012,112106
2014,PB,1166632,490516,393390,47274
2014,PE,2126491,284771,2310700,87002
2014,PI,1235203,242069,246121,25989
2014,PR,1972761,3018548,860685,210318
2014,RJ,2970486,2242363,2590871,532408
2014,RN,999452,329866,286061,48691
2014,RO,345167,371692,86148,24675
2014,RR,82857,108903,46936,10894
2014,RS,2751098,2637238,732148,246900
2014,SC,1140432,1961224,475599,130665
2014,SE,601578,248424,203188,42026
2014,SP,5927503,10152688,5761174,1117145
2014,TO,368348,202882,150568,11462
2018,AC,262508,78170,21809,59291
2018,AL,528355,687247,155457,164687
2018,AM,805902,746998,138997,161697
2018,AP,166935,134287,50553,57982
2018,BA,1725140,4441955,693273,508177
2018,CE,1061075,1616492,1998597,203991
2018,DF,936494,190508,266272,211243
2018,ES,1122131,495868,195553,235596
2018,GO,1868686,713535,280864,401704
2018,MA,817511,2062592,282467,204301
2018,MG,5308047,3037957,1278819,1362891
2018,MS,769116,333407,112296,182126
2018,MT,981119,404604,91344,157069
2018,PA,1499294,1714822,415593,513026
2018,PB,677718,984398,362775,140653
2018,PE,1444685,2309104,640860,330487
2018,PI,346944,1172147,211240,118612
2018,PR,3496448,1210974,510541,927726
2018,RJ,5107735,1255425,1300292,879941
2018,RN,541448,738165,399766,112874
2018,RO,538311,176107,52118,98365
2018,RR,174306,49406,14838,38238
2018,RS,3353623,1453291,724429,841093
2018,SC,2603665,598578,264312,489228
2018,SE,310310,571234,148526,110310
2018,SP,12378012,3833982,2650440,4490345
2018,TO,337782,311212,54262,53504
2022,AC,129022,275582,20122,16191
2022,AL,974156,621515,67411,61135
2022,AM,1019684,880198,87060,69734
2022,AP,197382,187621,27497,19661
2022,BA,5873081,2047599,197305,305023
2022,CE,3578355,1377827,66214,406868
2022,DF,649534,910397,105377,97267
2022,ES,897348,1160030,85325,78427
2022,GO,1454723,1920203,170742,135801
2022,MA,2603454,983861,78254,116076
2022,MG,5802571,5239264,500658,474140
2022,MS,588323,794206,79719,44741
2022,MT,633748,1102866,55989,50285
2022,PA,2443730,1884673,204075,147458
2022,PB,1554868,717416,57154,92250
2022,PE,3558322,1630938,96570,166179
2022,PI,1518008,406897,42179,77302
2022,PR,2363492,3628612,309685,264975
2022,RJ,3847143,4831246,365969,412319
2022,RN,1264179,622731,38633,81721
2022,RO,261749,581306,31217,28963
2022,RR,68760,207587,12956,9066
2022,RS,2806672,3245023,317957,268100
2022,SC,1279216,2694406,191310,166052
2022,SE,828716,378610,42073,49033
2022,SP,10490032,12239989,1625596,1300717
2022,TO,434303,379194,25209,23086
